名称,分类,描述,"护甲 - 钝器","护甲 - 利器","护甲 - 热能","隔温 - 寒冷","隔温 - 炎热",市场价值
人皮,"分类:正在施工,分类:皮革,分类:制成品,分类:织物,分类:需要帮助,分类:需要校对,分类:信息栏",鞣制、晒干并且抛光的人皮。大多数人认为这是一种十分可怕的材料。但是某些人觉得这很迷人。虽然是一种相当好的皮革，但是它既没有什么隔温能力，也不怎么坚韧。,24%,64%,150%,12.0C,12.0C,"4.20 银"
厚重毛皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",厚厚的皮革覆盖着一层长而粗糙的毛发。从一只大而强壮的动物身上剥制。这块厚厚的皮革防护与隔温能力十分优秀。,24%,124%,150%,30.0C,14.0C,"3.30 银"
原木,"分类:木材,分类:原材料,分类:近战武器,分类:需要扩展,分类:信息栏",源自树或其他纤维性植物的木材。可以用来建造建筑、武器、假肢、燃料甚至武器。,54%,54%,40%,8.0C,4.0C,"1.20 银"
合成纤维,"分类:制成品,分类:纤维,分类:织物,分类:需要扩展,分类:信息栏",太空时代的合成纤维，一般用于制作衣物。柔软、轻盈、坚固，并且拥有很好的隔温能力。,26%,94%,90%,22.0C,22.0C,"4.00 银"
大地懒毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",虽然有点粗糙，但大地懒毛的长纤维使其非常坚固，且格外的保暖。,0%,80%,110%,34.0C,12.0C,"2.70 银"
大理石砖,"分类:原材料,分类:石材,分类:信息栏",坚固的大理石砖块。大理石是一种较软、美丽的岩石，因易于雕塑而出名。,,,,,,"0.90 银"
布,"分类:制成品,分类:纤维,分类:织物,分类:需要扩展,分类:信息栏",由有机纤维织成的布。,0%,36%,18%,18.0C,18.0C,"1.50 银"
敲击兽皮,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",敲击兽毛茸茸的毛皮。奢侈并且出奇地耐用。它的防护与隔温能力极其出色，通常用于制作高品质工艺品。,36%,208%,150%,34.0C,22.0C,"14 银"
普通皮革,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、干燥并且抛光的皮革。一种良好且传统的衣物及包裹的制作材料。,24%,81%,150%,16.0C,16.0C,"2.10 银"
杂皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",一种通过切割和缝合其他各种各样皮革构成的不中用的纺织品。不管用哪种皮革来制作杂皮，不规则的接缝都让它的防护与隔温能力逊色于任何完整的皮革。,19%,45%,90%,9.0C,9.0C,"1.50 银"
板岩砖,"分类:原材料,分类:石材,分类:需要扩展,分类:信息栏",坚固的板岩砖块。板岩是一种外表平淡的易碎岩石。,,,,,,0.9银
栗鼠皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、干燥并且抛光的栗鼠皮。因其奢华和隔温能力出色而知名，市场价值意外地高。,14%,67%,150%,30.0C,16.0C,"6.50 银"
活铁,"分类:金属,分类:原材料,分类:需要扩展,分类:Anomaly,分类:信息栏","一种奇异的金属状纤维物质，兼具有机物与金属的性质。活铁是由极微机械体加工生物质材料得来。通常产生自一些类似癌症的故障机械体混乱反应。

这种材料以其与几种灵能之流的良好相性而闻名。若在特定环境下施加压力，活铁会变得极度易燃，使其成为不错的燃料。",50%,110%,50%,2.5C,0.0C,"0.75 银"
熊皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",一块坚韧且毛茸茸的熊皮，与大多数毛皮相比，它要更坚韧一些，且隔温能力出色。,24%,112%,150%,20.0C,20.0C,"3.40 银"
犀牛皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、晒干并且抛光的犀牛皮。它在战斗中特别耐用，但是隔温能力不怎么样。,24%,129%,150%,14.0C,14.0C,"4.20 银"
狐皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",一块狐狸的毛皮。它能很好地抵御寒冷，而且相当贵重，价格高昂。,21%,81%,150%,20.0C,16.0C,"3.50 银"
狗皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、干燥并且抛光的皮革。一种良好且传统的衣物及包裹的制作材料。,24%,81%,150%,14.0C,16.0C,"2.00 银"
狼皮,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",从狼类动物身上剥制下来的柔软且毛茸茸的毛皮。难以刺穿并且具有良好的抗寒效果。,24%,102%,150%,24.0C,16.0C,"3.00 银"
猪皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、晒干并且抛光的猪皮。虽然是一种相当好的皮革，但是它既没有什么隔温能力，也不怎么坚韧。,24%,64%,150%,12.0C,12.0C,"1.90 银"
玻璃钢,"分类:金属,分类:原材料,分类:信息栏",先进的太空时代结构材料。因其独特的分子结构，玻璃钢拥有极高的强度。,55%,114%,65%,3.0C,0.0C,"9.00 银"
白银,"分类:金属,分类:原材料,分类:信息栏",这种金属主要用作通用货币。也可以用来制作引人注目的装饰品。,36%,72%,36%,3.0C,0.0C,"1.00 银"
石灰岩砖,"分类:原材料,分类:石材,分类:信息栏",坚固的石灰岩砖块。,,,,,,"0.90 银"
砂岩砖,"分类:原材料,分类:石材,分类:信息栏",坚固的砂岩砖块。砂岩是一种相对柔软易碎的岩石。,,,,,,"0.90 银"
羊毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",羊的毛，拥有良好的隔温能力。,0%,36%,110%,26.0C,10.0C,"2.70 银"
羊驼毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",羊驼的非常柔软的羊毛。它很保暖，能很好地防暑降温，而且价格很高。,0%,36%,110%,30.0C,16.0C,"3.80 银"
翡翠,"分类:原材料,分类:石材,分类:信息栏",一种坚硬的绿色石头。由于它的美丽和稀有，翡翠经常被用来点缀和装饰。硬度和密度也使其成为一种很好的钝击武器材料。,45%,90%,54%,3.0C,0.0C,"5.00 银"
花岗岩砖,"分类:原材料,分类:石材,分类:信息栏",坚固的花岗岩砖块。花岗岩是一种非常硬的岩石。,,,,,,"0.90 银"
蓝色毛皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",雪牛毛茸茸的毛皮。从它独特的蓝色可以轻松识别。在寒冷气候条件下具有良好的隔温能力。,24%,81%,150%,20.0C,16.0C,"2.30 银"
蜥蜴皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制晒干的冷血爬行动物的皮。蜥蜴皮相当坚韧，但是隔温能力较差。,27%,81%,150%,12.0C,12.0C,"2.10 银"
豚鼠皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",一张豚鼠的毛皮，它很脆弱，但是相当奢华。,14%,67%,150%,38.0C,18.0C,"5.00 银"
象皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、晒干并且抛光的象皮。虽然十分坚韧，但是隔温能力较差。,24%,112%,150%,14.0C,12.0C,"3.00 银"
豹皮,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",从大型猫科动物身上剥制的柔软且毛茸茸的毛皮。难以刺穿并且具有良好的阻热效果。,24%,93%,150%,16.0C,24.0C,"3.00 银"
超织物,"分类:制成品,分类:纤维,分类:织物,分类:需要扩展,分类:信息栏",高科技的纳米纤维布，由特殊的生产型纳米机械编制而成。稍微有点重，但是几乎不可能破损。其生产技术只有最先进的闪耀世界才掌握。,54%,200%,288%,26.0C,26.0C,"9.00 银"
轻薄皮革,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",轻薄的皮革，可能是从小动物身上获取的。没有厚的皮革那么好的防护能力。,14%,54%,150%,12.0C,12.0C,"1.90 银"
野牛毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",茂密而粗糙的野牛毛。很暖和。,0%,36%,110%,26.0C,12.0C,"2.70 银"
钢铁,"分类:金属,分类:原材料,分类:信息栏",一种多用途铁碳合金，可以用来建造建筑、制作工具或武器。,45%,90%,60%,3.0C,0.0C,"1.90 银"
铀,"分类:金属,分类:原材料,分类:需要扩展,分类:信息栏",一种硬度密度极高的金属。虽然它因为给核反应堆提供能量而闻名，但它的物理特性亦使其在作为工具、武器或者护甲用途时表现优异。,54%,108%,65%,3.0C,0.0C,"6.00 银"
雪牛毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",柔软、轻盈，且拥有良好的隔温能力。即使在极端条件下，用雪牛毛制成的衣物也可以保持身体温暖。,0%,36%,110%,28.0C,12.0C,"2.70 银"
驼皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、干燥并且抛光的驼皮。在炎热的气候下具有良好的隔温能力。,24%,81%,150%,16.0C,24.0C,"2.30 银"
骇人皮革,"分类:皮革,分类:制成品,分类:织物,分类:Anomaly,分类:信息栏",从某些怪异生物身上扒下来的粗韧皮革。皮面上覆满了丑陋的疤痕和螺纹，闻着还有股微弱的腐肉味道。用这东西做成衣服给人穿会让他们不开心的。,24%,127%,150%,20.0C,12.0C,"3.50 银"
魔菇布,"分类:制成品,分类:纤维,分类:织物,分类:需要扩展,分类:信息栏",从产丝的恶魔菇中提取的纤维所织成的布。非常坚固，隔温能力优秀，防火性能相当出色。,36%,140%,300%,20.0C,24.0C,"5.50 银"
鸟皮,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",鞣制过的干燥并抛光的鸟皮。它相当精致，但是没有了羽毛，它对高温和低温几乎没什么抵抗能力。,14%,67%,150%,10.0C,10.0C,"1.80 银"
黄金,"分类:金属,分类:原材料,分类:信息栏",世界上最有诱惑力的金属。无数的人因为对黄金的渴望而命丧黄泉。这种黄色的软质金属本身用途不大，但非常漂亮并且极度稀少。,36%,72%,36%,3.0C,0.0C,"10 银"
